time,comp0,comp1
0.1427,0.0985424590639,0.0397483832102
0.1428,0.0985514355761,0.039757356706
0.1429,0.0985603896772,0.0397663077961
0.143,0.0985693214233,0.0397752365363
0.1431,0.0985782308702,0.0397841429826
0.1432,0.0985871180735,0.0397930271906
0.1433,0.0985959830887,0.0398018892158
0.1434,0.0986048259712,0.0398107291136
0.1435,0.0986136467764,0.0398195469393
0.1436,0.0986224455593,0.039828342748
0.1437,0.098631222375,0.0398371165945
0.1438,0.0986399772782,0.0398458685339
0.1439,0.0986487103237,0.0398545986207
0.144,0.098657421566,0.0398633069096
0.1441,0.0986661110597,0.0398719934549
0.1442,0.0986747788589,0.039880658311
0.1443,0.0986834250179,0.039889301532
0.1444,0.0986920495907,0.0398979231719
0.1445,0.0987006526312,0.0399065232847
0.1446,0.0987092341931,0.039915101924
0.1447,0.0987177943301,0.0399236591435
0.1448,0.0987263330957,0.0399321949966
0.1449,0.0987348505432,0.0399407095368
0.145,0.0987433467259,0.0399492028172
0.1451,0.0987518216969,0.039957674891
0.1452,0.098760275509,0.039966125811
0.1453,0.0987687082152,0.0399745556301
0.1454,0.0987771198681,0.0399829644009
0.1455,0.0987855105204,0.0399913521761
0.1456,0.0987938802244,0.039999719008
0.1457,0.0988022290324,0.040008064949
0.1458,0.0988105569966,0.0400163900512
0.1459,0.0988188641691,0.0400246943666
0.146,0.0988271506018,0.0400329779471
0.1461,0.0988354163465,0.0400412408446
0.1462,0.0988436614547,0.0400494831106
0.1463,0.0988518859781,0.0400577047967
0.1464,0.098860089968,0.0400659059542
0.1465,0.0988682734757,0.0400740866345
0.1466,0.0988764365524,0.0400822468886
0.1467,0.098884579249,0.0400903867675
0.1468,0.0988927016164,0.0400985063221
0.1469,0.0989008037054,0.0401066056033
0.147,0.0989088855667,0.0401146846614
0.1471,0.0989169472507,0.0401227435472
0.1472,0.0989249888078,0.0401307823109
0.1473,0.0989330102882,0.0401388010028
0.1474,0.0989410117421,0.040146799673
0.1475,0.0989489932196,0.0401547783716
0.1476,0.0989569547704,0.0401627371482
0.1477,0.0989648964443,0.0401706760528
0.1478,0.0989728182909,0.0401785951349
0.1479,0.0989807203598,0.040186494444
0.148,0.0989886027004,0.0401943740295
0.1481,0.0989964653618,0.0402022339407
0.1482,0.0990043083933,0.0402100742266
0.1483,0.0990121318437,0.0402178949362
0.1484,0.0990199357622,0.0402256961186
