time,soma
0.597,-0.0553973920004
0.5971,-0.0553418801351
0.5972,-0.0552865871158
0.5973,-0.0552315042058
0.5974,-0.0551766223407
0.5975,-0.055121932181
0.5976,-0.0550674245117
0.5977,-0.0550130894581
0.5978,-0.0549589175298
0.5979,-0.0549048984572
0.598,-0.0548510223912
0.5981,-0.0547972786192
0.5982,-0.0547436569045
0.5983,-0.054690146102
0.5984,-0.0546367354562
0.5985,-0.0545834135153
0.5986,-0.0545301688782
0.5987,-0.0544769897695
0.5988,-0.0544238640629
0.5989,-0.0543707796002
0.599,-0.0543177234854
0.5991,-0.0542646830674
0.5992,-0.0542116447045
0.5993,-0.0541585951337
0.5994,-0.0541055199275
0.5995,-0.054052405093
0.5996,-0.0539992353202
0.5997,-0.053945995761
0.5998,-0.053892670159
0.5999,-0.0538392426117
0.6,-0.053785695893
0.6001,-0.0537320127939
0.6002,-0.0536781751302
0.6003,-0.0536241641558
0.6004,-0.0535699605379
0.6005,-0.0535155437952
0.6006,-0.0534608932024
0.6007,-0.0534059864072
0.6008,-0.0533508010023
0.6009,-0.0532953125931
0.601,-0.0532394967139
0.6011,-0.0531833267348
0.6012,-0.0531267755062
0.6013,-0.053069814176
0.6014,-0.0530124123048
0.6015,-0.0529545383395
0.6016,-0.0528961582421
0.6017,-0.0528372370904
0.6018,-0.0527777369248
0.6019,-0.0527176182564
0.602,-0.0526568390844
0.6021,-0.0525953543698
0.6022,-0.0525331170529
0.6023,-0.0524700761042
0.6024,-0.0524061774784
0.6025,-0.0523413636379
0.6026,-0.0522755723425
0.6027,-0.0522087373863
0.6028,-0.0521407874801
0.6029,-0.0520716454838
0.603,-0.052001228532
0.6031,-0.0519294470862
0.6032,-0.0518562037298
0.6033,-0.0517813926869
0.6034,-0.051704899138
0.6035,-0.0516265975755
0.6036,-0.0515463506111
0.6037,-0.0514640074217
0.6038,-0.0513794022236
0.6039,-0.0512923521027
0.604,-0.0512026545763
0.6041,-0.0511100845954
0.6042,-0.0510143914519
0.6043,-0.0509152947212
0.6044,-0.0508124794873
0.6045,-0.0507055906625
0.6046,-0.0505942260159
0.6047,-0.0504779278863
0.6048,-0.0503561726489
0.6049,-0.0502283581953
0.605,-0.0500937871467
0.6051,-0.0499516488409
0.6052,-0.0498009912745
0.6053,-0.0496406904635
0.6054,-0.0494694061332
0.6055,-0.0492855281925
0.6056,-0.0490870998717
0.6057,-0.0488717164423
0.6058,-0.0486363859844
0.6059,-0.048377334791
0.606,-0.0480897228128
0.6061,-0.0477672295518
0.6062,-0.0474014244548
0.6063,-0.0469807861515
0.6064,-0.0464891082691
0.6065,-0.0459028118549
0.6066,-0.0451861460247
0.6067,-0.0442821244032
0.6068,-0.043094028772
0.6069,-0.0414437616714
0.607,-0.0389675899473
0.6071,-0.0348100422501
0.6072,-0.0265926862529
0.6073,-0.00804685293428
0.6074,0.0171820039485
0.6075,0.0277962044806
0.6076,0.0278327251157
0.6077,0.0228247549478
0.6078,0.0155143399084
0.6079,0.00723545321769
0.608,-0.00116099636103
0.6081,-0.00922540141661
0.6082,-0.0167029066228
0.6083,-0.0237222452988
0.6084,-0.0306228923499
0.6085,-0.0374680394445
0.6086,-0.0438600900804
0.6087,-0.0492927372643
0.6088,-0.0533694715369
0.6089,-0.0561162654825
0.609,-0.0578641700281
0.6091,-0.0589523960439
0.6092,-0.0596285941858
0.6093,-0.0600521382565
0.6094,-0.0603206462407
0.6095,-0.0604930424997
0.6096,-0.0606048764108
0.6097,-0.0606776701529
0.6098,-0.0607245090103
0.6099,-0.0607533901607
0.61,-0.0607692399429
0.6101,-0.060775133275
0.6102,-0.0607730311422
0.6103,-0.0607642255947
0.6104,-0.0607496070309
0.6105,-0.0607298237787
0.6106,-0.060705376695
0.6107,-0.0606766748046
0.6108,-0.0606440677966
0.6109,-0.0606078649566
0.611,-0.0605683460976
0.6111,-0.0605257679726
0.6112,-0.0604803682262
0.6113,-0.0604323677335
0.6114,-0.0603819723755
0.6115,-0.0603293741908
0.6116,-0.0602747525017
0.6117,-0.0602182746975
0.6118,-0.060160097163
0.6119,-0.0601003659216
0.612,-0.0600392174508
0.6121,-0.0599767792558
0.6122,-0.0599131705193
0.6123,-0.0598485027296
0.6124,-0.0597828801144
0.6125,-0.0597164002069
0.6126,-0.0596491543018
0.6127,-0.0595812278043
0.6128,-0.0595127006714
0.6129,-0.0594436477809
0.613,-0.0593741391764
0.6131,-0.0593042404124
0.6132,-0.059234012889
0.6133,-0.0591635139706
0.6134,-0.0590927972939
0.6135,-0.0590219130351
0.6136,-0.0589509080265
0.6137,-0.0588798259592
0.6138,-0.0588087075825
0.6139,-0.0587375908949
0.614,-0.0586665112014
0.6141,-0.0585955012906
0.6142,-0.0585245916744
0.6143,-0.0584538105662
0.6144,-0.0583831840563
0.6145,-0.0583127362657
0.6146,-0.0582424894292
0.6147,-0.0581724639371
0.6148,-0.0581026784649
0.6149,-0.05803315017
0.615,-0.0579638945858
0.6151,-0.0578949257806
0.6152,-0.0578262565705
0.6153,-0.0577578983978
0.6154,-0.0576898614424
0.6155,-0.0576221548182
0.6156,-0.0575547865062
0.6157,-0.0574877633808
0.6158,-0.0574210914362
0.6159,-0.0573547757222
0.616,-0.0572888203188
0.6161,-0.0572232286046
0.6162,-0.0571580031427
0.6163,-0.0570931456568
0.6164,-0.0570286573514
0.6165,-0.0569645386764
0.6166,-0.0569007893733
0.6167,-0.0568374088391
0.6168,-0.0567743956983
0.6169,-0.0567117481216
0.617,-0.0566494639214
0.6171,-0.0565875402382
0.6172,-0.0565259739507
0.6173,-0.056464761493
0.6174,-0.0564038987372
0.6175,-0.0563433815113
0.6176,-0.0562832049911
0.6177,-0.0562233642104
0.6178,-0.0561638539061
0.6179,-0.0561046683104
0.618,-0.0560458017118
0.6181,-0.0559872477975
0.6182,-0.0559290002626
0.6183,-0.0558710524744
0.6184,-0.0558133974216
0.6185,-0.0557560281961
0.6186,-0.0556989372995
0.6187,-0.0556421174473
0.6188,-0.0555855607357
0.6189,-0.0555292593674
0.619,-0.0554732052927
0.6191,-0.0554173901014
0.6192,-0.0553618055394
0.6193,-0.0553064427593
0.6194,-0.0552512932065
0.6195,-0.0551963476418
0.6196,-0.0551415971651
0.6197,-0.0550870321978
0.6198,-0.0550326433614
0.6199,-0.0549784209183
0.62,-0.0549243549043
0.6201,-0.0548704353893
0.6202,-0.0548166518286
0.6203,-0.0547629940041
0.6204,-0.0547094508916
0.6205,-0.0546560118963
0.6206,-0.0546026655025
0.6207,-0.0545494006673
0.6208,-0.0544962053336
0.6209,-0.0544430679467
0.621,-0.0543899759218
0.6211,-0.0543369170353
0.6212,-0.0542838782495
0.6213,-0.0542308465353
0.6214,-0.0541778083501
0.6215,-0.0541247497643
0.6216,-0.0540716566408
0.6217,-0.0540185140558
0.6218,-0.0539653071538
0.6219,-0.0539120199746
0.622,-0.0538586367726
0.6221,-0.0538051404979
0.6222,-0.0537515143725
0.6223,-0.0536977400892
0.6224,-0.053643799643
0.6225,-0.0535896733727
0.6226,-0.0535353417196
0.6227,-0.0534807836586
0.6228,-0.0534259777132
0.6229,-0.0533709014274
0.623,-0.0533155310797
0.6231,-0.0532598424084
0.6232,-0.0532038092632
0.6233,-0.0531474052036
0.6234,-0.05309060142
0.6235,-0.0530333686805
0.6236,-0.0529756753777
0.6237,-0.0529174886503
0.6238,-0.0528587739105
0.6239,-0.0527994940609
0.624,-0.0527396107561
0.6241,-0.0526790823098
0.6242,-0.0526178652855
0.6243,-0.0525559132588
0.6244,-0.052493176431
0.6245,-0.0524296024965
0.6246,-0.0523651347589
0.6247,-0.0522997127801
0.6248,-0.0522332722312
0.6249,-0.0521657433148
0.625,-0.0520970511925
0.6251,-0.05202711551
0.6252,-0.0519558489342
0.6253,-0.0518831569043
0.6254,-0.0518089372146
0.6255,-0.0517330784182
0.6256,-0.0516554589457
0.6257,-0.0515759458453
0.6258,-0.0514943936108
0.6259,-0.0514106422949
0.626,-0.0513245153997
0.6261,-0.0512358178797
0.6262,-0.0511443334147
0.6263,-0.0510498211121
0.6264,-0.0509520119902
0.6265,-0.0508506044417
0.6266,-0.0507452588868
0.6267,-0.0506355913141
0.6268,-0.0505211653493
0.6269,-0.0504014830175
0.627,-0.0502759728517
0.6271,-0.050143974893
0.6272,-0.0500047221301
0.6273,-0.049857318254
0.6274,-0.0497007068347
0.6275,-0.0495336331649
0.6276,-0.0493545928299
0.6277,-0.0491617669895
0.6278,-0.0489529295563
0.6279,-0.0487253244491
0.628,-0.0484754931145
0.6281,-0.0481990264017
0.6282,-0.0478902076939
0.6283,-0.0475414738118
0.6284,-0.0471425832927
0.6285,-0.0466792936291
0.6286,-0.0461311516681
0.6287,-0.0454676390998
0.6288,-0.0446410592629
0.6289,-0.0435724431769
0.629,-0.0421210280961
0.6291,-0.0400109347169
0.6292,-0.0366293041624
0.6293,-0.0303716220622
0.6294,-0.0165792508237
0.6295,0.00900666738015
0.6296,0.025547927239
0.6297,0.0286179548182
0.6298,0.0250277658872
0.6299,0.018367531629
0.63,0.0103234095989
0.6301,0.00189896498116
0.6302,-0.00632140252788
0.6303,-0.0140302617334
0.6304,-0.021179334078
0.6305,-0.0280924528985
0.6306,-0.0349830415741
0.6307,-0.04160321891
0.6308,-0.0474418189212
0.6309,-0.0520390734995
0.631,-0.055242339611
0.6311,-0.05731333802
0.6312,-0.0586092360994
0.6313,-0.0594137890864
0.6314,-0.0599158964424
0.6315,-0.0602327283659
0.6316,-0.0604352205067
0.6317,-0.060566143976
0.6318,-0.0606513565014
0.6319,-0.0607065541613
0.632,-0.0607413095148
0.6321,-0.0607614993395
0.6322,-0.0607707710416
0.6323,-0.0607714295909
0.6324,-0.0607649733437
0.6325,-0.0607524164759
0.6326,-0.060734481956
0.6327,-0.0607117162416
0.6328,-0.0606845569372
0.6329,-0.0606533723919
0.633,-0.0606184848063
0.6331,-0.0605801835917
0.6332,-0.0605387331295
0.6333,-0.0604943775033
0.6334,-0.0604473432979
0.6335,-0.0603978415199
0.6336,-0.0603460689891
0.6337,-0.0602922093934
0.6338,-0.0602364342616
0.6339,-0.0601789037811
0.634,-0.0601197675501
0.6341,-0.0600591653711
0.6342,-0.0599972278329
0.6343,-0.0599340770442
0.6344,-0.0598698271495
0.6345,-0.0598045848808
0.6346,-0.059738450146
0.6347,-0.0596715163832
0.6348,-0.059603871041
0.6349,-0.05953559603
0.635,-0.0594667679764
0.6351,-0.0593974585989
0.6352,-0.0593277350855
0.6353,-0.0592576602669
0.6354,-0.0591872929136
0.6355,-0.0591166880261
0.6356,-0.059045897007
0.6357,-0.0589749678488
0.6358,-0.0589039453531
0.6359,-0.0588328713706
0.636,-0.0587617848305
0.6361,-0.0586907219719
0.6362,-0.0586197165503
0.6363,-0.0585487998821
0.6364,-0.058478000984
0.6365,-0.0584073467234
0.6366,-0.0583368619713
0.6367,-0.0582665696013
0.6368,-0.0581964906247
0.6369,-0.0581266444264
0.637,-0.0580570486674
0.6371,-0.0579877194348
0.6372,-0.0579186714088
0.6373,-0.057849917852
0.6374,-0.0577814706577
0.6375,-0.0577133405056
0.6376,-0.0576455369299
0.6377,-0.0575780682606
0.6378,-0.0575109417991
0.6379,-0.0574441639248
0.638,-0.0573777399481
0.6381,-0.0573116743346
0.6382,-0.0572459707875
0.6383,-0.0571806320721
0.6384,-0.0571156602786
0.6385,-0.0570510568463
0.6386,-0.0569868223885
0.6387,-0.0569229570344
0.6388,-0.056859460292
0.6389,-0.0567963309732
0.639,-0.0567335675889
0.6391,-0.0566711679679
0.6392,-0.0566091294641
0.6393,-0.0565474491886
0.6394,-0.0564861235904
0.6395,-0.0564251488947
0.6396,-0.0563645209372
0.6397,-0.0563042350018
0.6398,-0.0562442863866
0.6399,-0.0561846697352
0.64,-0.0561253796201
0.6401,-0.0560664102995
0.6402,-0.0560077555699
0.6403,-0.0559494093025
0.6404,-0.0558913647787
0.6405,-0.0558336153555
0.6406,-0.0557761539716
0.6407,-0.0557189733395
0.6408,-0.0556620661859
0.6409,-0.0556054246767
0.641,-0.0555490412325
0.6411,-0.0554929076042
0.6412,-0.0554370158164
0.6413,-0.0553813573404
0.6414,-0.0553259236544
0.6415,-0.0552707061158
0.6416,-0.0552156956227
0.6417,-0.0551608833051
0.6418,-0.0551062596515
0.6419,-0.0550518154926
0.642,-0.0549975408934
0.6421,-0.0549434263408
0.6422,-0.0548894615144
0.6423,-0.0548356364228
0.6424,-0.0547819405197
0.6425,-0.0547283632167
0.6426,-0.0546748937284
0.6427,-0.0546215208064
0.6428,-0.0545682333606
0.6429,-0.0545150195224
0.643,-0.0544618677722
0.6431,-0.0544087656591
0.6432,-0.0543557011504
0.6433,-0.054302661159
0.6434,-0.0542496330604
0.6435,-0.0541966030488
0.6436,-0.0541435578039
0.6437,-0.0540904827795
0.6438,-0.0540373637926
0.6439,-0.0539841855854
0.644,-0.0539309329141
0.6441,-0.0538775897737
0.6442,-0.053824139687
0.6443,-0.0537705657736
0.6444,-0.0537168501804
0.6445,-0.0536629749648
0.6446,-0.0536089208015
0.6447,-0.053554668457
0.6448,-0.0535001970304
0.6449,-0.053445485762
0.645,-0.0533905119439
0.6451,-0.0533352528677
0.6452,-0.0532796840294
0.6453,-0.0532237802578
0.6454,-0.0531675151461
0.6455,-0.0531108606328
0.6456,-0.0530537878989
0.6457,-0.0529962657887
0.6458,-0.0529382625183
0.6459,-0.052879743525
0.646,-0.0528206730478
0.6461,-0.0527610130741
0.6462,-0.0527007229514
0.6463,-0.0526397603782
0.6464,-0.052578079428
0.6465,-0.0525156319912
0.6466,-0.0524523665677
0.6467,-0.0523882277985
0.6468,-0.052323157198
0.6469,-0.052257091518
0.647,-0.0521899628066
0.6471,-0.0521216986184
0.6472,-0.0520522202783
0.6473,-0.0519814428643
0.6474,-0.0519092748962
0.6475,-0.0518356169433
0.6476,-0.0517603608088
0.6477,-0.0516833886319
0.6478,-0.0516045719632
0.6479,-0.0515237699288
0.648,-0.051440827863
0.6481,-0.0513555754226
0.6482,-0.0512678244496
0.6483,-0.0511773666193
0.6484,-0.0510839703028
0.6485,-0.0509873771001
0.6486,-0.0508872976549
0.6487,-0.0507834066435
0.6488,-0.0506753367783
0.6489,-0.0505626715909
0.649,-0.0504449365173
0.6491,-0.0503215875067
0.6492,-0.0501919981571
0.6493,-0.0500554429498
0.6494,-0.0499110745486
0.6495,-0.0497578974355
0.6496,-0.0495947334854
0.6497,-0.0494201752266
0.6498,-0.0492325243027
0.6499,-0.0490297131083
0.65,-0.0488091928672
0.6501,-0.0485677809956
0.6502,-0.0483014422567
0.6503,-0.0480049803108
0.6504,-0.0476715702839
0.6505,-0.0472920530202
0.6506,-0.0468538168872
0.6507,-0.0463389672542
0.6508,-0.0457211928503
0.6509,-0.0449600948629
0.651,-0.043990253969
0.6511,-0.0426983644758
0.6512,-0.0408703330407
0.6513,-0.0380536764929
0.6514,-0.0331345526356
0.6515,-0.0229069345138
0.6516,-0.000644853521121
0.6517,0.0216569158585
0.6518,0.0285698985555
0.6519,0.0268150229033
0.652,0.0209893191108
0.6521,0.0133058593875
0.6522,0.00492903734771
0.6523,-0.00340764904225
0.6524,-0.0113290860551
0.6525,-0.0186504125113
0.6526,-0.0256077250987
0.6527,-0.0325090568816
0.6528,-0.0392838642455
0.6529,-0.0454616792587
0.653,-0.0505514761617
0.6531,-0.054242190329
0.6532,-0.0566788707957
0.6533,-0.0582159026068
0.6534,-0.0591709231779
0.6535,-0.0597652878063
0.6536,-0.0601387734715
0.6537,-0.0603764385355
0.6538,-0.0605295713138
0.6539,-0.060629136856
0.654,-0.0606939023961
0.6541,-0.0607352928925
0.6542,-0.0607603036985
0.6543,-0.0607732573146
0.6544,-0.0607768656362
0.6545,-0.060772872128
0.6546,-0.0607624388513
0.6547,-0.0607463785583
0.6548,-0.060725292987
0.6549,-0.0606996546729
0.655,-0.0606698549578
0.6551,-0.060636232003
0.6552,-0.0605990870835
0.6553,-0.0605586940004
0.6554,-0.0605153046805
0.6555,-0.0604691526178
0.6556,-0.0604204549784
0.6557,-0.0603694142381
0.6558,-0.0603162192567
0.6559,-0.0602610463804
0.656,-0.0602040602028
0.6561,-0.0601454144806
0.6562,-0.0600852527744
0.6563,-0.0600237092196
0.6564,-0.0599609091811
0.6565,-0.0598969698011
0.6566,-0.0598320006557
0.6567,-0.0597661042084
0.6568,-0.0596993762937
0.6569,-0.0596319066424
0.657,-0.0595637791973
0.6571,-0.0594950725114
0.6572,-0.0594258601612
0.6573,-0.0593562109817
0.6574,-0.0592861893666
0.6575,-0.0592158555955
0.6576,-0.0591452660449
0.6577,-0.0590744733881
0.6578,-0.0590035268366
0.6579,-0.0589324723951
0.658,-0.0588613529177
0.6581,-0.0587902083499
0.6582,-0.0587190759441
0.6583,-0.0586479903252
0.6584,-0.0585769836407
0.6585,-0.0585060857106
0.6586,-0.0584353242157
0.6587,-0.0583647246764
0.6588,-0.0582943106125
0.6589,-0.0582241037718
0.659,-0.0581541240712
